Oinwe	Ve.
banetax maton xobonko botankanwe maton tita betan iki ibon jatíbitian mato noibakin jakonhabanon nokon bakeboyabi maton ea ikínkatitai keskáribiakin	creo que es mejor que ustedes se vayan a sus casas
nato joni riki jatíbi ja diossen jawékiboki iamax ja rabiti jawékiboki jakonmaatai jaskatira iti iki ja diossen xobonko jikixon ibotaanan ea riki dios ikibo ikí	el rebelde que se pone por encima de todo lo que es considerado divino y sagrado que incluso pondrá su trono en el templo de dios para mostrar que él es dios
jabora neno non main jakáskanai ibakanon nato non main jataanan yoábo akáx maroi	dejemos que se establezcan aquí y se muevan libremente por nuestra tierra
jara jawen ibon jatíbi jawen jawékibo koiranon ixon jaki jeneti iki	su señor lo pondrá al cuidado de todo lo que tiene
ikon riki ibó jaskara ikaxbira jawen ibo metinina piti tsosáshokobo mesameax maana akai iki ochitinin piribakin akin	es verdad señor pero también los perritos comen las migajas que caen de la mesa de sus amos
jabora teeti atipanyamakanke itan jatonbiribi chopaaxonbo saweti atipanyamakanke jaskara ikenbira ja apo salomón jakonhira chopabo saweibi ja joabo ikai bebonbires metsati raokaati atipanyamaa iki	no hilan ni tejen pero yo les digo que ni salomón con todo su lujo se pudo vestir como uno de ellos
joi akaibobires ikaxbira mato joinbicho ianananyamakanai jaskataxbora ikai ja joi ayamai koshiboiba mato kaai	pero no un hermano demanda a otro hermano y lleva la causa ante paganos
ja en mato onanma keskati jakanwe jainoax ja ea ninkatax itan ea oinnax mato eibakeax axea keskatiribi jakanwe jatianra ja xabá shinanya noa imai dios mato betanbi iti iki akinkana bixon jato iráke aka	pongan en práctica todo lo que han aprendido recibido y oído de mí todo lo que me han visto hacer y el dios de la paz estará con ustedes agradecimiento de pablo
nato ea jain jaa kanaán mainmea ainbo betanra jawekeskáaxonbi nokon bake min wanomatima iki	no buscarás esposa para mi hijo de entre las mujeres cana neas en cuyo país vivo
jatian jatíribi fariseobo ikana iki neskati nato jonira diossibakeax joáma iki jakopira tantiti netenbi tantiamai ikibo ikaxbi wetsabobiribi ikana iki	algunos fariseos pues dijeron ese hombre que trabaja en día sábado no puede venir de dios pero otros decían
moa orankin senenhakanketianra jain tsinkíkanainko shakota iki jaskáketian jatíbi jain ikanabo diossen shinan bochoya banékana iki jaskara ixonra rakéyamakin diossen joi yoikana iki jatíbi jawékinin akinanankana	terminada la oración tembló el lugar donde estaban reunidos todos quedaron llenos del espíritu santo y se pusieron a anunciar con seguridad la palabra de dios los creyentes intentan poner en común todos los bienes
jain joni jayamainkoniaxa neskati saí inoxiki	escuchen ese grito en el desierto
jatian ja kristo ikonhaax mawataboribi moa manótiain bokanabo iki	y para decirlo sin rodeos los que se durmieron en cristo están totalmente perdidos
jainra icha inkienso akana iki jaskáaxon ja ani yakati bebon iká orobires jainxon dios yoina menoxontiainxon jatíbi ja diossen jonibaon orakiónboyabi menonon ixon	se le dieron muchos perfumes las oraciones de todos los santos que iba a ofrecer en el altar de oro colocado delante del trono
jaskara ikenmein ocha riki nato esé iki noa iti iki ikámabobi	qué significa esto que la ley es pecado de ninguna manera pero yo no habría conocido el pecado si no fuera por la ley
ikaxbi pablon ja ponté shinanya joni iti jainoax ja jakonma jawéki ati shinanhoma iti itan ja nete senenketian diossen jaton jakonma jawéki akábo yoixonti joiboribi jato yoia ikonbiresi ratéxon félixnin yoia iki	pero cuando habló de la justicia del dominio de los instintos y del juicio futuro félix se asustó y le dijo
mia danra inóxiki bai kexa rono tsamátaanan joni peyakaya kabayobo kaaitian jaton tae chiponki natéxtaanan jato pakeai keskábo jakopíra ja mii patax iká jemabo ikonbiresi matoki rakénoxikanai akin jawen papan aká iki	será como serpiente en el camino como víbora en el sendero que muerde los talones del caballo y hace caer de espaldas al jinete
jatian en mato yokatabira maton ea jawebi yoitima iki	y si les hago alguna pregunta ustedes no me contestarán
miaki ja non reken papashoko abraham ipaoni xewina iki	eres tú más grande que nuestro padre abraham que murió lo mismo que murieron los profetas
jatian jakob jawen joniboyabi betelhainoax wetsanko boí tekíribikana iki jaskati boí efrata akanainko nokóti ochóchaapari ikenbi rakel baken chexakin peoa iki ikaxbi bakenkaskinmaa iki	partieron de betel y faltando ya poco para llegar a efratá raquel dio a luz tuvo un parto muy difícil
dios betan matonra onanke ja mato joi ikonhaibo xaran ikax jakoni pontétires itan jakopi ramiakin yoikanti yama noa iká	ustedes son testigos y dios también de que nuestra conducta con ustedes los creyentes fue irreprochable buena y correcta
ibó jakon berobobichores min banayantanabiki jawekeskatax ja kizañaribi xoxoa akin akana iki	señor no sembraste buena semilla en tu campo de dónde pues viene esa cizaña
jaskara riki ibó minra onanke en mia noia akin	cuida de mis ovejas
jatian kaax derbe betan listra jeman pablo nokota iki jainxonra westíora joi akai joni timoteo janeya nokoa iki jawen tita iká iki joi akai judío ainbo ikaxbi jawen papa iká iki griego joni	pablo se dirigió a derbe y después a listra había allí un discípulo llamado timoteo hijo de una mujer judía que había abrazado la fe y de padre griego
non nekeabi keyotai yorara moa wetsaresibi keyóyosma yora inóxiki jatian ja non mawatai yorara moa mawáyosma yora inóxiki	porque es necesario que nuestro ser mortal y corruptible se revista de la vida que no conoce la muerte ni la corrupción
jatianra iwanke ja faraónman kenpo en tsomaa ja kenpo tsomaatonra en awanke ja uva bimi joshina bitaanan ja kenpon potsikin jaskáakin senenhataananra en awanke ja apo faraón en menikin akin	yo tenía en la mano la copa de faraón y tomando aquellas uvas las exprimía en la copa de fa raón y ponía la copa en sus manos
jatianra kaaitian jaon rarokin ichaxon jaton taribo bainapo kakaaxonkana iki jatiribibaonbiribi pei xatexon bainapo tipinxonkana iki	muchas personas extendían sus capas a lo largo del camino mientras otras lo cubrían con ramas cortadas en el campo
jaskarabo ikámatianbira en moa mato yoike koiranmeetax jakanwe jonin bake jakiribi joti	estén alerta yo se lo he advertido todo venida del hijo del hombre
jabora ikana iki tson topontimati kikinbires icha	eran millones centenares de millones
neskara jawékibo moa onanna ixonra rakétanma non yoiai	qué esperanza tan grande y qué seguridad nos da
jatian jawékiki yoinhanan jatobi yoikin aká onanxon jesús yatankaskana iki ikaxbi joniboki rakékin moa jaweayamakin potabainkana iki apo kopiátibokiriakin jesús yokákana	los jefes querían apresar a jesús pero tuvieron miedo al pueblo habían entendido muy bien que la parábola se refería a ellos lo dejaron allí y se fueron el impuesto para el césar
jaskáakin mato yoiira moa jatíbi senenhax itan moa jakon ikaxibi ea iamai jaskati ikaxbira ea jenéyamai bebon karesai jaskara imanoxon ea kriston bia ikax ja nokoi kaai kaman	no creo haber conseguido ya la meta ni me considero un perfecto sino que prosigo mi carrera para conquistarla como ya he sido conquistado por cristo
matora kristo ikonhaax jakibicho koshiti diossen imaama iki já kopi masá tenetiribira mato imaa iki	y es una gracia para ustedes que no solamente hayan creído en cristo sino también que padezcan por él
jaweratobaonki jaskara jonibo jowé akai jabora jaskara jonibaon jakonma akaibo jato rabékiinaibo iki senentiainbi jato yoia	pues el que le saluda se hace cómplice de sus malas obras
ikaxbi nonra diossen noa jain imati yoiai bená mai betan bená nai manai jainra jatíbi itibi keská ikax jakonbires inóxiki	mas nosotros esperamos según la promesa de dios cielos nuevos y una tierra nueva en que reine la justicia
jaskati sinatai joninra jawetianbi dios keenai keská ayamai	pues la ira del hombre no realiza la justicia de dios
kikin metsáshaman riki ja jakon joi yoiaibo non jato nokotai oinna iki	qué bienvenidos los pies de los que traen buenas noticias
jakon akáxa mia rarokeanke ikaxbi min ayamai kopíra ochan miaaresai ikaxbira ja ocha minharesti atipanke akin	en cambio si obras mal el pecado está a las puertacomo fiera al acecho tú debes dominarlo
davidkan bake jesús ea noibawe	jesús hijo de david ten compasión de mí
ja jaton yora keenai keskáres akin jakonma jawéki akábora rami jawékibo aká kopi jatíbitian mawátian kati jake	el que siembra en su carne de la carne cosechará corrupción
jatian ea jansoaitiankayara jishtiai diosbichores ikonman rabikanai jatíribi matobaonra shinanbirakanai jawekopíkayaki ea diossen ochayatonres yoinnai	pero tal vez replicarán si la mentira mía hace resaltar la verdad de dios aumentando así su gloria cómo me tratarán de pecador
neskara kopíra diossen ja joi akaibo jato akinti ea imaa iki mato akinhanan jatíbiain jawen joi en yoinon ixon	fui constituido ministro de ella por cuanto recibí de dios la misión de llevar a efecto entre ustedes su proyecto
ikaxbi jawetianki jatoki jakonmaata ixonbi maton ja shinanxonkin jeneyamai jatianra ja naikan iká non papa diossenribi maton ochabo shinanxonkin jenetima iki akin jesussen yoiti koshi	para que su padre del cielo les perdone también a ustedes sus faltas con qué autoridad haces esto
ikaxbi jan onanna iki yaméyabi neten ja jema xepotiainxon já retenoxon manakana	pero saulo llegó a conocer su plan día y noche eran vigiladas las puertas de la ciudad para poder matarlo
eibakeax botankanwe jakonmabo ja yoshinbaon koshi itan jawen yonotibo axona jawetianbi nokayamai chiikan ewa meran botankanwe	malditos aléjense de mí y vayan al fuego eterno que ha sido preparado para el diablo y para sus ángeles
ikaxbi neskara jawéki maton onantininra ea keenai kristo riki jonibaon mapo keska jatian wanoya joni iki benoya ainbaon mapo keska jaskáribira dios iki kriston mapo	pero quiero recordarles que la cabeza de todo varón es cristo y la cabeza de la mujer es el varón y la cabeza de cristo es dios
jatian ja israelbo josuékan jato tantimani iketianra wetsa netebo moa diossen yoiamakeana iki	no creamos que josué los introdujo en el lugar donde debían descansar de ser así dios no habría indicado posteriormente otro día
ja ochitibo diossen jawékibo meniamakanwe jaskara jakon jawéki onanyamaxonra mato jakonmaakanti atipanke jainxon ja kopí jawékiboribi kochibo meniamakanwe jabaonra onanyamaxon jamáreskanti atipanke dios yokáti	no den lo que es santo a los perros ni echen sus perlas a los cerdos pues podrían pisotearlas y después se volverían contra ustedes para destrozarlos
jakon shinanyaxonkaya ja mato jayata jawékibaon ja jawebiomashokobo jato akinkanwe jatianra nekebi itan shinan meranribi mato jakon ikanti iki	pero según ustedes simplemente con dar limosnas todo queda purificado
ikonra iká iki nato joni diossen bake iki	verdaderamente este hombre era hijo de dios
itan tsonbiribi mia yokáti senenma	ahora creemos que saliste de dios
jatian jabo kopíra nato netemea jatíbi maibotiibi jakon jakanti iki ja en yoia ea ninkáxonax mia yoiti iká kopí akin aká iki	y porque has obedecido a mi voz todos los pueblos de la tierra serán bendecidos a través de tu descendencia
eara diossen ratetai joni ikax jawen keena keskáres axoni jaa joni iki jaskara iken ja maton ea yoia keskábo maton senenhaketianra en mato jawebi shinanxontima iki	les doy un medio para que se salven pues yo también tengo temor de dios
ja joninra pablon jato joi yoiaitian ninkata iki ninkati yakáketian pablonin jainbikon oinxon onanna iki ikonhaax jawen isin benxoti shinanya	un día como escuchaba el discurso de pablo éste fijó en él su mirada y vio que aquel hombre tenía fe para ser sanado
ikaxbi mato ja nokon noi wetsabó shinankanwe ja non ibo jesukriston raanabaon mato yoini joibo	pero ustedes amadísimos recuerden lo que los apóstoles de cristo nuestro señor les anunciaron
jawekeska yoiimein ike matonra ea benanoxiki ixonbira maton ea nokoyamanoxiki jain ea kaainkora mato kati atipanyamake akin noa aká	qué quiere decir con eso de me buscarán y no me encontrarán y ustedes no pueden venir donde yo estoy
jato jaskáa basimabi jain ikábaon pataxbainxon pedro yoikana iki ikon riki mia jawen joni mia yoyo ikara onantibires iki akin	un poco después se acercaron los que estaban allí y dijeron a pedro sin duda que eres uno de los galileos se nota por tu modo de hablar
jatian jesús orani karibaa iki kaxon awana keskáribiakin orana iki	y se alejó de nuevo a orar repitiendo las mismas palabras
jainoaxibi maton mapokibiribi jaskáyamakanwe matonra jawekeskaaxonbi westíora boobi wiso iamaxon joxo imati atipanyamake	tampoco jures por tu propia cabeza pues no puedes hacer blanco o negro ni uno solo de tus cabellos
nato jonibaonra jaton yoyo ikatoninres ea rabiai ikaxbi jaton shinanra eaakin shinanti ochóbires ikanai	este pueblo me honra con los labios pero su corazón está lejos de mí
jawe ireskiai jawe ireskiai jawe ireskiaipanon jawe imeyanoxiki ja main ikana jonibo ja senentiainbi wetsa kimisha ángelbaon jaton trompeta xoon aketian	ay ay ay de los habitantes de la tierra cuando resuene el sonido de las trompetas que los tres últimos ángeles van a tocar
baketian diossen xobonko jesús iká	primera iniciativa del joven jesús
mainra moxayabi jakonma xobibaon mia xoxoxonti iki jatianra nii meranoa yoabo min jawékiati iki	espinas y cardos te dará mientras le pides las hortalizas que comes
non jaskáati riki jakon mato kristoki koshii jenéyamai itan wetsaboribi jato noikin maton jeneyamaitian	es justo hacerlo ya que siguen progresando en la fe y crece el amor de cada uno a los hermanos
min ea jainshamainra yoia kopí jakonbires katanwe	puedes irte por lo que has dicho el demonio ya ha salido de tu hija
noabokaya kriston raanabo ixon noa akinkanwe akinbo mato tearestitianbira mato xarameax bakebo keskatires noa iká iki	a pesar de que como apóstoles de cristo hubiéramos podido serles gravosos
wetsa nete jakob yoá aki iitaitian esaú iorai paxkina kachiokeax joxon	en cierta ocasión estaba jacob cocinando un guiso cuando llegó esaú del campo muy agotado
jaskara kopíra ja maibotiibi ikana jonibo xaranxon en mia rabiti iki min jane rabiira ea bewati iki iki	por eso te bendeciré entre las naciones y alabaré tu nombre
ja nato atipana ani koshiribira jato diossen oinmaa iki	es la misma fuerza todopoderosa
miara jaai kati jake jain banakanabo iamai mainko jainoax jawetianbi oi beyamai mainkoribira mia jaai kati jake	mira vivirás lejos de las tierras fértiles y lejos del rocío del cielo
ibora jain non mai senenna bebonbires koshi iki akin	el poder de yavé traspasa las fronteras de israel
jatian jaskata iitaitian trigo tsekatitian rubén wainko kaa iki	en el tiempo de la siega del trigo salió rubén y encontró unas mandragoras silvestres en el campo y se las llevó a su madre lía
ja profeta isaíassen yoini joibo senenti kopíra jato jaskáa iki ja iká iki neskati	así debían cumplirse las palabras del profeta isaías
judáin bexonra chanpobaon jatíbi pia iki wetsabaon texeara jatíribibaon bexon keyokin piá iki	lo que dejó el gusano lo devoró la langosta lo que dejó la langosta lo devoró el pulgón lo que dejó el pulgón lo devoró el grillo
jenetiatamabi ishtontani jowé eubulo pudente lino klaudia jainxon jatíbi non wetsabaonribira mia saludo bomakanai	haz todo lo posible por venir antes del invierno te saludan eúbulo pudente lino claudia y todos los hermanos el señor sea contigo
ikaxbi ja yonoti jonin ati iki neskara shinankin	pero puede ser que el administrador piense
jatian kristo jiriamani iketianra ja non mato yoiai joibo jawemabi ikeanke jainoax yankabiresibi ja joi maton ikonhaabo ikeanke	y si cristo no resucitó nuestra predicación no tiene contenido como tampoco la fe de ustedes
ikaxbi matonra ikonhaayamai nokon ovejamabo ixon	pero ustedes no creen porque no son ovejas mías
tsoakayarin ja jonin bake	quién es ese hijo del hombre
shokorespari ea manawe ibó en mia keyokin kopíanon akin	dame un poco de tiempo y yo te lo pagaré todo
westíora nete teeta kopíra westíora kilo trigo bikanti iki jainxon westíora nete teeta kopíribira kimisha kilo kebada bikanti iki	una medida de trigo por una moneda de plata tres medidas de cebada por una moneda también ya no gastes el aceite y el vino
jawekeskaxonbi jato paranmayamakanwe ja kristo joamatianbira icha jonibaon diossen joi jenekanti jake ja manotiain potakaati kaai ja kikinbires jakonma joni pikóketian	no se dejen engañar de ninguna manera primero tiene que producirse la apostasía y aparecer el adversario de la religión el instrumento de la perdición
ikaxbi rama netebaonra jawen bake meranxonbiribi noa yoyo ake já meranxonra jatíbi nete jonia iki jatian jara jatíbi jawékinin ibo imaa iki	hasta que en estos días que son los últimos nos habló a nosotros por medio del hijo a quien hizo destinatario de todo ya que por él dispuso las edades del mundo
jawe jawékiki yoinxonmein ja diossen ikinaton iti jawékibo onantishamanhakin en mato yoiti iki	a qué puedo comparar el reino de dios con qué ejemplo podría ilustrarlo
jainxon ja ibon non mato noia keskáakinribi wetsabo betan itan jatíbibo betan inonbi mato noianannon ixon noimisti shinanbo mato animaboresbanon	que el señor los haga crecer más y más en el amor que se tienen unos a otros y en el amor para con todos imitando el amor que sentimos por ustedes
moa xabakaata jonibo keskatikaya ikanwe jatian moa jaskati xabakaatabo ixonra jakonma jawékibo non ati jawemabi iki ixon shinanyamakanwe jaskáyamaikaya diossen yonoti jonibo keskatires ikanwe	sean libres pero no hagan de la libertad un pretexto para hacer el mal sean libres como servidores de dios
ja judíobaon apo en pikoxontiki mato keenai	quieren que ponga en libertad al rey de los judíos
jatian ja westíora jonin jakon jawéki akí teexon kopí biaira yanka menikanaima iki jara tee aká kopi menikanai jawékibo iki	cuando alguien ha realizado una obra o trabajo no se le entrega el salario como un favor sino como una deuda
pacha kimisha chonka pichika metro jawen nenké rabé chonka rabé metro wetsa metro iti naponbekon jawen naxbá jainoax chonka kimisha metro wetsa metro iti naponbekon jawen keyá	tendrá ciento cincuenta metros de largo veinticinco metros de ancho y quince metros de alto
diossenra yoitimabo jato banémaa iki jaton bero itan jaton pabíkibora jato xeponaana iki jatian ramakamanbira jaskara ikanai iki	dios los embruteció sus ojos no ven y sus oídos no oyen hasta el día de hoy
ja nato netenxon chonkankonia westíorabo menikana biaibo riki mawatai jonibo jaskara ikenbira wishá meran yoiai ja chonkankonia westíorabo menikana bia ikaxbi melkisedek japaria	en el primer caso los hijos de leví que cobran el diezmo son hombres que mueren en cambio melquisedec es presentado como el que vive
jawena riki jatíbitian ja atipana koshi ibanon jaskarashaman	gloria a él por los siglos de los siglos
jatian ea jaskáaitian jao bechiakekainxon en oinna iká iki kanchis lamparin orobires aká itini	me volví para ver quién me hablaba detrás de mí había siete candeleros de oro
jatian juan jaskáakana ninkatax jesús jabicho boten nanékaini tsoabi yamanko kaa iki	al conocer esa noticia jesús se alejó discretamente de allí en una barca y fue a un lugar despoblado
jainribi ikana iki icha ainbobo galileankoniaxbi jesús chibani beabo ochóxonres oinni ja ainbobo iká iki jan jesús akinnabo	también estaban allí observándolo todo algunas mujeres que desde galilea habían seguido a jesús para servirlo
jainxonra pilaton ja sakerdotebaon koshibo ja jemamea joni koshibo jainxon ja jemamea jonibo tsinkia iki	pilato convocó a los jefes de los sacerdotes a los jefes de los judíos y al pueblo
nokon wetsabó enra mato onanke matora noimisti shinanyabo iki jainxonribira moa maton jatíbi jawékibo onanna iki jaskara ikaxa wetsabo betan inonbi moa mato eseananti atipanke	personalmente estoy convencido hermanos de que también ustedes están llenos de buena voluntad colmados de todo conocimiento y que son capaces de amonestarse mutuamente
jaskarabo iiti jan jato xeamaibaon joni koshi betan panhakaibaon joni koshin ja egiptonkonia apo akonbireskin sinámakana iki	sucedió tiempo después que dos funcionarios el que preparaba las bebidas para el rey de egipto y el panadero principal cometieron algunas faltas contra su señor el rey de egipto
jaweranoax joirin mia itan jawerano kaaiki mia iitai	de dónde vienes y a dónde vas
jokin ja tróassainoa karponin xobonko jan perakooti chopa en potabeirainbata ea bexonwe ja kirikaboyabi ja jaki wishati yoina bichiribi	cuando vengas tráeme la capa que dejé en tróade en casa de carpo y también los libros sobre todo los pergaminos
ja bai kexa iká iki benche rabé yakábekona jatian jesús jan winotai ninkatax iká iki	en algún momento dos ciegos estaban sentados a la orilla del camino y al enterarse de que pasaba jesús comenzaron a gritar
jabaonra jaskara jawéki yokata iki ja tanakinres jaskáaxon jakopi jakonmaakinbo yoinoxon	le hacían esta pregunta para ponerlo en dificultades y tener algo de qué acusarlo
jara jato xewina joni inóxiki jainxonra ani diossen bake akinribi anoxikanai jara non ibo diossen apo imanoxiki jawen reken papashoko david imani keskáribiakin	será grande y justamente será llamado hijo del altísimo el señor dios le dará el trono de su antepasado david
ea riki nato netemea joé jaweratobaonki ea ikonhaxon en yoia keskábores ea axonai jabora yamé meran iamai jan jati joé meran jakanti iki akin	yo soy la luz del mundo el que me sigue no caminará en tinieblas sino que tendrá luz y vida
jawekopíki ja mionmea onanaibaon non rekenbaon axé senenhayamakanai jawekopikayaki jawékiakamatianbi mechokiyamakanai akin	y le dijeron por qué tus discípulos no respetan la tradición de los antepasados no se lavan las manos antes de comer
jaskáatanan jaonmea onannaibo já iká boten nanémaax jain ikana icha joni potabaini moa bokana iki	despidieron a la gente y lo llevaron en la barca en que estaba
jaskáaketian jawen jonibo ikana iki kikini ratetax	grande fue el asombro aquellos hombres decían
moiséssenra ja senenhati esé mato menia iki jaskaramarin jaskara ikenbira westíoraxonbi maton ja esé senenhayamai jakopira ea retenoxon maton shinannai akin jato aká iki	moisés les dio la ley no es cierto pero si ninguno de ustedes cumple la ley por qué quieren matarme
nokon shinan meranra ea ikai ikonbiresi ja diossen esébo senenhatinin keeni	en mí el hombre interior se siente muy de acuerdo con la ley de dios
ikaxbi ja mesan pii yakatabaon westíoraxonbi onanyamakana iki jaweatimein jaskáakin yoiai ixon	ninguno de los que estaban a la mesa comprendió por qué jesús se lo decía
ja non mawá miinnai riki jan keenti jisáma itan jawe koshiomabobi ikaxbi ja jiriai riki jakonshaman itan koshi	se siembra como cosa despreciable y resucita para la gloria se siembra un cuerpo impotente y resucita lleno de vigor
ja manótiain boaibaon ninkatara kristo korosenmeax mawata joi jawemabi iki ikaxbi ja noa kishpinmeetaibaonara nato joi iki diossen atipana koshi	bien es cierto que el lenguaje de la cruz resulta una locura para los que se pierden pero para los que se salvan para nosotros es poder de dios
nenobira ea banetai pozo pataxbi onpax bii xontakobo bekanai kaman	voy a quedarme junto a la fuente mientras las muchachas de la ciudad vienen a buscar agua
jatian jaskáketian oinyaketankanabi moa jabé iwanabo yamaaxbi jesúsbichores jain iká iki	y de pronto mirando a su alrededor no vieron ya a nadie sólo jesús estaba con ellos
jaskáakanara jonéshoko ja onan jonibo jato kenamaa bekanketian yokáxon herodesnin onanna iki jatianshaman wishtin pikota merakana	entonces herodes llamó en privado a los magos y les hizo precisar la fecha en que se les había aparecido la estrella
jan jato xabáakai jonira sión jemameax jonoxiki joxonra ja jakob jakonmainoa xabáanoxiki	de sión saldrá el libertador que limpiará a los hijos de jacob de todas sus faltas
jaskara kopíra ja reken senenhabekonti joi diossen akainko yoina retekana jimiribi chikota iki	por eso se derramó sangre al iniciarse el antiguo testamento
jatian jaskáakin oinkin senenhataanan ja oveja koiranaibo moa boribakana iki bokinra dios rabiananbi iráke aabainkana iki ja ángelnin jato yoia keskáshamanbo iká oinxon jesús diossen xobo meran bokana	después los pastores regresaron alabando y glorificando a dios por todo lo que habían visto y oído tal como los ángeles se lo habían anunciado
mia riki diossen bake iki ikaxbi jesussen yoyo imayamakin ja yoshinbo jato notsina iki jara kristo iki ixon jabaon onanna kopí jain tsinkíti xobonkoxonbo jesussen jato joi yoia	tú eres el hijo de dios pero él los amenazaba y no les permitía decir que él era el mesías porque lo sabían
jatianra kikinbires icha joni galileankoniax dekápolissainoax jerusalénhainoax judeainoax itan ja jordán keibakea iká mainmeaxboribi jesús chibani bekana iki	empezaron a seguir a jesús muchedumbres gente de galilea decápolis jerusalén judea y del otro lado del jordán
enra nokon koshki nai koinbo meran ake nato netemeabo betan jaskara ati joi en benxoa ja oinxon onantira iti iki	pongo mi arco en las nubes para que sea una señal de mi alianza con toda la tierra
jakonma jawékibaonra miaaresnake koiranmeewe jakon jawékibores akinkaya ja jakonma jawékibo minhareswe	no te dejes vencer por el mal más bien derrota al mal con el bien
jainxon non onanyamaribike tson oinmaarin ixon	pregúntenle a él que es adulto y puede responder de sí mismo
matora ikai	y me desprecian cada vez que dicen
jara iká iki ja profeta yoyo ini joi senenti kopí ja inike neskati	de manera que se cumplía lo dicho por el profeta
ja kristo jiriaxon naikan jawen mekayao yakámaxon	que actuó en cristo cuando lo resucitó de entre los muertos y lo hizo sentar a su derecha en la morada celestail
botankanwe matobicho ja fiestanko eara kayamapariai ea jatian katira nokotamapari iki akin jato aká iki	suban ustedes a la fiesta yo no voy a esta fiesta porque mi tiempo aún no ha llegado
ja judakanra jawen baban ewa jaskáakin yoia iki jawen wetsabo iká keskáribii jawen bake selá mawáti shinankin	porque judá tenía miedo de que sela muriera también al igual que sus hermanos
ibanon joi non retexon pozo meran potanon ja reteanan jain potaxonra non papa non yoiti iki pimís yoinanin moa piá riki akin jaskáataananra noa manákanti iki jan namáxon noa yoipachoaiboki jawekeska ikai ikax	este es el momento matémoslo y echémoslo en un pozo cualquiera y diremos que algún animal feroz lo devoró ahí vamos a ver en qué quedan sus sueños
jaskara ikenra jatíbi jakon jonibo retekana kopí mato diossen kastiganoxiki ja abel retekani kopí itan ja senentiainbi ja diossen xobo meran iká jainxon dios yoina menoxonkanai naxaranxon ja berikíassen bake zakarías maton reteni kopí	al final recaerá sobre ustedes toda la sangre inocente que ha sido derramada sobre la tierra desde la sangre del justo abel hasta la sangre de zacarías hijo de baraquías al que ustedes mataron ante el altar dentro del templo
jatianra moa bakebaon akai keskáakin shinannaibo noa itima iki jaskara shinanyabopari akai ja wetsa esé pikotaibaon jaton shinan wetsaanankin jaskataibo akanai ja paramisti onanbaon teemabires jato parankin	entonces no seremos ya niños zarandeados y llevados por cualquier viento de doctrina o invento de personas astutas expertas en el arte de engañar
akin akana iki jatian jaskáakin namáxon jato yoia kopí bebonbires josé omiskana iki	y lo aborrrecieron más aún a causa de sus sueños y de sus interpretaciones
ikonrake ea iki kaai keskatiribira mato onitsapinoxiki itan mato mawáti iki	pues bien la copa que voy a beber yo la beberán también ustedes y serán bautizados con el mismo bautismo que voy a recibir yo
jainxon ja en kikinhakin noia ebé raenanai epenetoribira en saludo bomai janparira asia mainxon kristo ikonhaa iki	saluden a mi querido epéneto el primer convertido cristiano en la provincia de asia
jatian neskara jakonmabires chii koin azufre ja kabayobaon kexakameax jokonatonra kimisha parte iká senen jonibo keyoa iki	la tercera parte de la humanidad fue exterminada por estas tres plagas fuego humo y azufre que salían de la boca de los caballos
jainxonribi jawen tee senenhati ochóma iken juanman jato yoia iki	y cuando estaba para terminar su carrera juan declaró
jaskara joni jaskáti yoiira iká iki ja kanchis itin adán pekáo iká enok neskati	el patriarca henoc el séptimo después de adán dijo de ellos estas palabras
jesús davidkan baké ea noibawe	jesús hijo de david ten compasión de mí
jainxonribi ea jain kaax itiribi ea benxoaxonwe maton eki oranabo ninkáxontaanan mato oinni kanon ixon ea diossen raantininra ea manáke senentiainbi jato saludana	además prepárame alojamiento pues gracias a la oración de todos ustedes espero serles devuelto
jaskarabo iká pekaora moa jabo jainoax pikóxon nenonxon ea rabinonxikanai iki xon	después saldrán y me darán culto en este lugar
jaskara iken nokon wetsabó mato abrahamman rarebobaon bakebo itan ja dios akin shinannai judíoma jonibo nato jan kishpinti joira matona iki	hermanos israelitas hijos y descendientes de abrahán y también ustedes los que temen a dios a todos nosotros se nos ha dirigido este mensaje de salvación
enribira moa shinanna iká iki ja nazarethainoa jesús ikonhaibo jawekeskaxon inonbires jato ramiati	yo mismo al principio consideré que era mi deber usar todos los medios para combatir el nombre de jesús el nazareno
ja jiritaanan nobébi pixon xeaibora diossen jatíbi jonibo jato oinmayamaa iki noaresa oinmaa iki moabi jaskáakin katóxon noa oinmati yoini ixon	no por todo el pueblo sino por los testigos que dios había escogido de antemano por nosotros que comimos y bebimos con él después de que resucitó de entre los muertos
enra onanke mato abrahamman chiní rarebobo jaskákinbira maton ea retekasai en yoiai joibo ikonhakashamakin	yo sé que ustedes son descendientes de abraham pero mi palabra no tiene acogida en ustedes y por eso tratan de matarme
jaskara iken onankanwe ja kristo ikonhaax jaki koshiabo riki ikon abrahamman chiní bakebo	entiendan pues que quienes toman el camino de la fe son hijos de abrahán
jainxonribira en shinanke ja epafroditoribi moa en raana jakon iti jara jakon joi yoii ebébi teeti ikonbiresi onitsapike ja iki ea maxkatabo jan akinnon ixon matonbi eiba raanyantana	me pareció necesario devolverles a nuestro hermano epafrodito que trabajó y luchó a mi lado y al que ustedes enviaron para que atendiera mis necesidades
